Ref,Val,Package,PosX,PosY,Rot,Side
"D82","NSI50010YT1G","D_SOD-123",126.000000,58.505000,90.000000,bottom
"D83","NSI50010YT1G","D_SOD-123",91.500000,58.505000,90.000000,bottom
"D84","SMAJ33CA","D_SMA",118.500000,69.005000,0.000000,bottom
"D85","SMAJ33CA","D_SMA",84.000000,68.955000,0.000000,bottom
"D86","MB110S","TO-269AA",119.500000,62.505000,90.000000,bottom
"D87","MB110S","TO-269AA",85.000000,62.455000,90.000000,bottom
"D88","NSI50010YT1G","D_SOD-123",114.500000,58.505000,90.000000,bottom
"D89","NSI50010YT1G","D_SOD-123",80.000000,58.455000,90.000000,bottom
"D90","BZV55C10","D_MiniMELF",26.405000,13.082500,0.000000,bottom
"D91","MMSZ5256ET1G","D_MiniMELF",22.405000,9.082500,-90.000000,bottom
"D118","SMAJ33CA","D_SMA",95.810000,10.960000,0.000000,bottom
"D119","SMAJ10CA","D_SMA",90.810000,14.960000,0.000000,bottom
"D120","SMAJ10CA","D_SMA",64.310000,15.167500,0.000000,bottom
"D121","SMAJ33CA","D_SMA",69.310000,11.167500,0.000000,bottom
"D122","SMAJ10CA","D_SMA",77.500000,15.167500,0.000000,bottom
"D123","SMAJ10CA","D_SMA",51.310000,15.167500,0.000000,bottom
"D124","SMAJ33CA","D_SMA",82.500000,11.167500,0.000000,bottom
"D125","SMAJ33CA","D_SMA",56.310000,11.167500,0.000000,bottom
"D159","BZV55C10","D_MiniMELF",14.905000,27.582500,180.000000,bottom
"D160","SMAJ33CA","D_SMA",11.405000,10.582500,180.000000,bottom
"F1","MF-USMF005-2","Fuse_1210_3225Metric",89.560000,10.960000,0.000000,bottom
"F2","MF-USMF005-2","Fuse_1210_3225Metric",63.060000,11.167500,0.000000,bottom
"F3","MF-USMF005-2","Fuse_1210_3225Metric",76.250000,11.167500,0.000000,bottom
"F4","MF-USMF005-2","Fuse_1210_3225Metric",50.060000,11.167500,0.000000,bottom
"F5","0685T5000-01","Fuse_1206_3216Metric",18.405000,10.582500,180.000000,bottom
"FB4","BLM31SN500SH1L","L_1206_3216Metric_Pad1.22x1.90mm_HandSolder",30.405000,28.082500,0.000000,bottom
"FID5","Fiducial","Fiducial_1mm_Mask3mm",152.000000,87.000000,0.000000,bottom
"FID6","Fiducial","Fiducial_1mm_Mask3mm",3.000000,87.000000,0.000000,bottom
"FID7","Fiducial","Fiducial_1mm_Mask3mm",152.000000,2.000000,0.000000,bottom
"FID8","Fiducial","Fiducial_1mm_Mask3mm",3.000000,2.000000,0.000000,bottom
"J39","10144517-042802LF","AMPHENOL_10144517-041802LF",4.500000,60.000000,-90.000000,bottom
"J41","10144517-042802LF","AMPHENOL_10144517-041802LF",4.500000,30.000000,-90.000000,bottom
"J42","10144517-042802LF","AMPHENOL_10144517-041802LF",164.500000,20.000000,-90.000000,bottom
"Q5","AOD407","TO-252-3_TabPin2",14.880000,17.167500,-90.000000,bottom
"Q6","AOD407","TO-252-3_TabPin2",23.332500,25.422500,90.000000,bottom
"Q7","MMBT5401","SOT-23",26.405000,9.582500,-90.000000,bottom
"R10","1K","R_0603_1608Metric_Pad0.98x0.95mm_HandSolder",138.000000,29.500000,90.000000,bottom
"R15","100K","R_0603_1608Metric_Pad0.98x0.95mm_HandSolder",136.500000,23.500000,180.000000,bottom
"R16","10K","R_0603_1608Metric_Pad0.98x0.95mm_HandSolder",138.000000,33.500000,90.000000,bottom
"R17","4.7K","R_0603_1608Metric_Pad0.98x0.95mm_HandSolder",136.000000,33.500000,-90.000000,bottom
"R18","15K","R_0603_1608Metric_Pad0.98x0.95mm_HandSolder",133.500000,22.500000,90.000000,bottom
"R19","4.7K","R_0603_1608Metric_Pad0.98x0.95mm_HandSolder",132.000000,33.500000,-90.000000,bottom
"R20","4.7K","R_0603_1608Metric_Pad0.98x0.95mm_HandSolder",134.000000,33.500000,-90.000000,bottom
"R22","10R/1W","R_2512_6332Metric_Pad1.40x3.35mm_HandSolder",70.000000,75.505000,-90.000000,bottom
"R25","10R/1W","R_2512_6332Metric_Pad1.40x3.35mm_HandSolder",35.500000,75.505000,-90.000000,bottom
"R27","2.2K","R_0603_1608Metric_Pad0.98x0.95mm_HandSolder",72.500000,56.505000,180.000000,bottom
"R33","4.7K","R_0603_1608Metric_Pad0.98x0.95mm_HandSolder",147.000000,33.500000,-90.000000,bottom
"R34","10K","R_0603_1608Metric_Pad0.98x0.95mm_HandSolder",149.000000,33.500000,90.000000,bottom
"R35","4.7K","R_0603_1608Metric_Pad0.98x0.95mm_HandSolder",143.000000,33.500000,-90.000000,bottom
"R36","4.7K","R_0603_1608Metric_Pad0.98x0.95mm_HandSolder",145.000000,33.500000,-90.000000,bottom
"R37","1K","R_0603_1608Metric_Pad0.98x0.95mm_HandSolder",149.000000,29.500000,90.000000,bottom
"R38","100K","R_0603_1608Metric_Pad0.98x0.95mm_HandSolder",147.500000,23.500000,180.000000,bottom
"R39","15K","R_0603_1608Metric_Pad0.98x0.95mm_HandSolder",144.500000,22.500000,90.000000,bottom
"R113","2.2K","R_0603_1608Metric_Pad0.98x0.95mm_HandSolder",38.000000,56.505000,180.000000,bottom
"R114","1K","R_0603_1608Metric_Pad0.98x0.95mm_HandSolder",73.000000,41.505000,180.000000,bottom
"R115","1K","R_0603_1608Metric_Pad0.98x0.95mm_HandSolder",38.500000,41.505000,180.000000,bottom
"R116","10R/1W","R_2512_6332Metric_Pad1.40x3.35mm_HandSolder",58.500000,75.500000,-90.000000,bottom
"R117","10R/1W","R_2512_6332Metric_Pad1.40x3.35mm_HandSolder",24.000000,75.505000,-90.000000,bottom
"R118","2.2K","R_0603_1608Metric_Pad0.98x0.95mm_HandSolder",61.000000,56.500000,180.000000,bottom
"R119","2.2K","R_0603_1608Metric_Pad0.98x0.95mm_HandSolder",26.500000,56.505000,180.000000,bottom
"R120","1K","R_0603_1608Metric_Pad0.98x0.95mm_HandSolder",61.500000,41.500000,180.000000,bottom
"R121","1K","R_0603_1608Metric_Pad0.98x0.95mm_HandSolder",27.000000,41.505000,180.000000,bottom
"R122","10R/1W","R_2512_6332Metric_Pad1.40x3.35mm_HandSolder",47.000000,75.500000,-90.000000,bottom
"R123","10R/1W","R_2512_6332Metric_Pad1.40x3.35mm_HandSolder",12.500000,75.505000,-90.000000,bottom
"R124","2.2K","R_0603_1608Metric_Pad0.98x0.95mm_HandSolder",49.500000,56.500000,180.000000,bottom
